cyber,What is the full form of IDS signature?,Intrusion Detection System Signature,Internal Data System Signature,Internet Detection System Signature,Input Detection Signature,0,Signature-based IDS detects known attacks,full_forms
cyber,What is the full form of IPSec?,Internet Protocol Security,Internal Protocol Security,Internet Process Security,Internal Process Security,0,IPSec secures IP communication,full_forms
cyber,What is the full form of WAF?,Web Application Firewall,Wireless Application Firewall,Web Access Framework,Wireless Access Firewall,0,WAF protects web applications,full_forms
cyber,What is the full form of CSP?,Content Security Policy,Control Security Protocol,Content Secure Process,Central Security Policy,0,CSP prevents XSS attacks,full_forms
cyber,What is the full form of SSL certificate?,Secure Socket Layer certificate,Safe Socket Layer certificate,System Security Layer certificate,Secure System Layer certificate,0,SSL certificate encrypts communication,full_forms
cyber,What is the full form of TOR?,The Onion Router,Total Online Router,Transfer Online Resource,Trusted Online Router,0,TOR provides anonymous communication,full_forms
cyber,What is the full form of VPN tunneling?,Virtual Private Network tunneling,Verified Public Network tunneling,Virtual Public Node tunneling,Verified Private Node tunneling,0,VPN tunneling encrypts traffic,full_forms
cyber,What is the full form of NIDS?,Network Intrusion Detection System,Network Internal Data System,New Intrusion Detection Service,Network Information Detection System,0,NIDS monitors network threats,full_forms
cyber,What is the full form of HIDS?,Host Intrusion Detection System,Host Internal Data System,High Intrusion Detection System,Host Information Detection System,0,HIDS monitors host activity,full_forms
cyber,What is the full form of SOC analyst?,Security Operations Center analyst,System Operations Center analyst,Secure Output Control analyst,System Output Center analyst,0,SOC analyst monitors security events,full_forms
cyber,What is the full form of MFA token?,Multi Factor Authentication token,Multiple File Access token,Main Function Access token,Managed File Authentication token,0,MFA token provides authentication,full_forms
cyber,What is the full form of API security?,Application Programming Interface security,Advanced Program Interface security,Application Process Integration security,Advanced Process Interface security,0,API security protects endpoints,full_forms
cyber,What is the full form of CSP header?,Content Security Policy header,Control Security Protocol header,Content Secure Process header,Central Security Policy header,0,CSP header prevents attacks,full_forms
cyber,What is the full form of DDoS mitigation?,Distributed Denial of Service mitigation,Data Distributed OS mitigation,Digital Data OS mitigation,Dynamic Denial Output mitigation,0,DDoS mitigation prevents attack impact,full_forms
cyber,What is the full form of SSL handshake?,Secure Socket Layer handshake,Safe Socket Layer handshake,System Security Layer handshake,Secure System Layer handshake,0,SSL handshake establishes secure session,full_forms
subject,Question,A,B,C,D,answer,explanation,topic
ds,A dataset contains structured rows and columns stored in tables. This type of data is:,Unstructured,Structured,Semi-structured,Raw data,1,Structured data is organized in rows and columns,basics
ds,A dataset containing text, images, and videos is classified as:,Structured,Semi-structured,Unstructured,Relational,2,Unstructured data has no predefined format,basics
ds,A process of extracting useful information from data is called:,Data storage,Data mining,Data cleaning,Data loading,1,Data mining extracts patterns and insights,basics
ds,A measure of central tendency is:,Mean,Variance,Range,Standard deviation,0,Mean represents average value,statistics
ds,A measure of dispersion is:,Mean,Median,Standard deviation,Mode,2,Standard deviation measures spread of data,statistics
ds,A dataset with extreme values is handled using:,Normalization,Outlier detection,Clustering,Sampling,1,Outliers are identified and handled carefully,preprocessing
ds,A process of converting raw data into usable form is:,Modeling,Data preprocessing,Deployment,Testing,1,Preprocessing prepares data for analysis,preprocessing
ds,A missing value in dataset can be handled by:,Ignoring data,Imputation,Deleting dataset,Encoding,None,1,Imputation replaces missing values,preprocessing
ds,A categorical variable is:,Numeric,Text-based,Continuous,Discrete numeric,1,Categorical data represents categories,basics
ds,A continuous variable is:,Discrete values,Infinite values,Text values,Labels,1,Continuous data can take infinite values,basics
ds,A supervised learning algorithm requires:,No labels,Input-output pairs,Only input,Only output,1,Supervised learning uses labeled data,machine_learning
ds,A unsupervised learning algorithm uses:,Labeled data,Unlabeled data,Output only,Input only,1,Unsupervised learning finds patterns,machine_learning
ds,A classification problem predicts:,Continuous value,Category,Cluster,None,1,Classification predicts discrete categories,machine_learning
ds,A regression problem predicts:,Category,Continuous value,Cluster,None,1,Regression predicts numeric values,machine_learning
ds,A clustering algorithm groups:,Similar data,Different data,Random data,None,0,Clustering groups similar data points,machine_learning
ds,A popular clustering algorithm is:,Linear regression,K-means,Decision tree,Naive Bayes,1,K-means groups data into clusters,machine_learning
ds,A model that overfits data performs:,Well on training,Well on test,Poor on training,None,0,Overfitting memorizes training data,machine_learning
ds,A model that underfits data shows:,High accuracy,Low accuracy,Perfect fit,None,1,Underfitting fails to capture patterns,machine_learning
ds,A training dataset is used for:,Testing model,Training model,Deployment,None,1,Training data builds model,machine_learning
ds,A test dataset is used for:,Training,Evaluation,Deployment,None,1,Test data evaluates model performance,machine_learning
ds,A confusion matrix is used for:,Regression,Classification,Clustering,None,1,Confusion matrix evaluates classification,machine_learning
ds,Accuracy is calculated as:,Correct predictions/Total,Errors/Total,None,None,0,Accuracy measures correct predictions ratio,machine_learning
ds,Precision measures:,Correct positives,Correct negatives,None,None,0,Precision measures true positives accuracy,machine_learning
ds,Recall measures:,False positives,True positives,None,None,1,Recall measures sensitivity,machine_learning
ds,F1 score is:,Average of precision recall,Harmonic mean,Sum,None,1,F1 balances precision and recall,machine_learning
ds,A decision tree splits data based on:,Features,Output,None,None,0,Tree splits data using features,machine_learning
ds,A random forest is:,Single tree,Multiple trees,None,None,1,Random forest combines multiple trees,machine_learning
ds,A linear regression assumes:,Linear relation,Nonlinear,None,None,0,Linear regression models linear relation,machine_learning
ds,A logistic regression is used for:,Regression,Classification,None,None,1,Logistic regression predicts probability,machine_learning
ds,A feature is:,Output variable,Input variable,None,None,1,Feature is input variable,machine_learning
ds,A label is:,Input,Output,None,None,1,Label is output variable,machine_learning
ds,Normalization scales data between:,0 and 1,0 and 100,None,None,0,Normalization rescales data,preprocessing
ds,Standardization converts data to:,Mean 0 std 1,Mean 1 std 0,None,None,0,Standardization normalizes distribution,preprocessing
ds,A histogram represents:,Frequency distribution,Mean,None,None,0,Histogram shows distribution of values,visualization
ds,A scatter plot shows:,Relation between variables,Frequency,None,None,0,Scatter shows correlation,visualization
ds,A bar chart represents:,Categories,Continuous,None,None,0,Bar charts compare categories,visualization
ds,A correlation measures:,Relationship,Mean,None,None,0,Correlation shows relationship strength,statistics
ds,A positive correlation means:,Increase together,Decrease together,None,None,0,Positive correlation means both increase,statistics
ds,A negative correlation means:,Opposite relation,Same relation,None,None,0,Negative correlation means inverse relation,statistics
ds,A dataset split ratio is commonly:,50-50,70-30,90-10,None,1,70-30 split is common practice,machine_learning
ds,A pipeline in data science includes:,Steps,Code,None,None,0,Pipeline organizes workflow,data_pipeline
ds,A data warehouse stores:,Raw data,Processed data,None,None,1,Warehouse stores cleaned structured data,data_engineering
ds,A big data tool is:,Excel,Hadoop,Word,None,1,Hadoop handles large datasets,data_engineering
ds,A Python library for data analysis is:,NumPy,Pandas,Matplotlib,All of these,3,All are used in data science,tools
ds,A model deployment means:,Training,Using model,None,None,1,Deployment uses model in real system,machine_learning
subject,Question,A,B,C,D,answer,explanation,topic
ds,A model shows high accuracy on training data but significantly lower accuracy on unseen test data. What is the most appropriate interpretation?,The model is underfitting due to insufficient features,The model is overfitting due to memorizing training patterns,The dataset is perfectly balanced,The algorithm is deterministic,1,The model has learned noise and specific patterns from training data instead of generalizable features leading to poor test performance. Underfitting would show low accuracy on both sets while balanced data or determinism do not explain this gap,machine_learning
ds,In a classification problem where false negatives are extremely costly such as disease detection which metric should be prioritized?,Accuracy,Precision,Recall,Specificity,2,Recall measures how many actual positives are correctly identified which is critical in disease detection. Precision focuses on false positives while accuracy can be misleading in imbalanced datasets and specificity focuses on true negatives,statistics
ds,What is the primary impact of multicollinearity in linear regression models?,It increases model accuracy consistently,It makes coefficient estimates unstable and unreliable,It reduces dataset size automatically,It improves interpretability of features,1,Multicollinearity causes high correlation between independent variables leading to unstable coefficients and inflated variance. It does not improve accuracy or reduce data but harms interpretability,statistics
ds,Why is regularization used in machine learning models?,To increase training error intentionally,To reduce model complexity and prevent overfitting,To remove all features from dataset,To maximize variance of predictions,1,Regularization adds penalty to large coefficients reducing complexity and preventing overfitting. It does not remove all features but controls their impact,machine_learning
ds,What does a high bias model typically indicate?,The model is too complex and overfitting,The model is too simple and underfitting,The dataset is large enough,The predictions are always correct,1,High bias means the model makes strong assumptions and cannot capture underlying patterns leading to underfitting. Overfitting relates to high variance,machine_learning
ds,What is the main purpose of cross-validation in model building?,To increase dataset size artificially,To evaluate model performance on unseen data reliably,To remove outliers permanently,To speed up training process,1,Cross-validation splits data into multiple folds ensuring model is tested on different subsets improving reliability. It does not increase data or remove outliers,machine_learning
ds,In K-means clustering what is the role of the centroid?,It defines class labels,It represents cluster center minimizing distance,It removes noise from data,It normalizes dataset,1,Centroid is the mean point of a cluster and K-means minimizes distance between points and centroids. It does not assign predefined labels or normalize data,machine_learning
ds,Why is feature scaling important in algorithms like K-means and SVM?,To reduce dataset size,To ensure features contribute equally to distance calculations,To eliminate missing values,To improve interpretability only,1,Distance-based algorithms depend on magnitude so scaling ensures no feature dominates. It does not reduce size or remove missing values,preprocessing
ds,What is the key difference between bagging and boosting?,Bagging reduces bias while boosting reduces variance,Bagging reduces variance while boosting reduces bias and error sequentially,Both are identical methods,Bagging increases error intentionally,1,Bagging trains models independently reducing variance while boosting trains sequentially correcting errors reducing bias. They are fundamentally different ensemble techniques,machine_learning
ds,Why does L1 regularization lead to sparse models?,It increases all coefficients equally,It forces some coefficients to become exactly zero,It removes dataset entirely,It increases model complexity,1,L1 penalty shrinks some coefficients to zero effectively performing feature selection. L2 only shrinks values but does not eliminate them,machine_learning
ds,What does the ROC curve represent?,Error vs iterations,True positive rate vs false positive rate,Precision vs recall,Loss vs accuracy,1,ROC plots sensitivity against false positive rate showing classification performance across thresholds. Precision recall curve is different,machine_learning
ds,Why is PCA used in data science?,To increase number of features,To reduce dimensionality while preserving variance,To label data automatically,To normalize dataset,1,PCA transforms data into orthogonal components capturing maximum variance reducing dimensionality. It does not label data or increase features,preprocessing
ds,What is the risk of using too many features in a model?,Improved performance always,Overfitting and increased complexity,Reduced variance always,Guaranteed accuracy,1,Too many features can lead to overfitting where model learns noise. It also increases computational complexity,machine_learning
ds,Why is data leakage dangerous in model training?,It improves accuracy artificially on training data,It exposes future information leading to misleading performance,It reduces dataset size,It simplifies model,1,Data leakage allows model to access information it would not have in real scenarios causing unrealistic performance metrics,machine_learning
ds,What does standard deviation measure?,Central tendency,Spread of data around mean,Maximum value,Minimum value,1,Standard deviation quantifies variability of data points from mean unlike mean median which measure central tendency,statistics
ds,Why is normalization preferred for neural networks?,To remove labels,To scale inputs into uniform range improving convergence,To increase features,To reduce dataset size,1,Neural networks perform better when inputs are scaled ensuring stable gradient updates during training,preprocessing
ds,What is the purpose of a confusion matrix?,To visualize clustering,To evaluate classification performance in detail,To normalize data,To remove outliers,1,Confusion matrix provides counts of true positives false positives etc giving deeper insight than accuracy,machine_learning
ds,Why is recall more important in fraud detection?,Because false positives are costly,Because missing fraud cases is critical,Because dataset is small,Because model is simple,1,In fraud detection missing a fraudulent case is more dangerous than flagging legitimate ones so recall is prioritized,statistics
ds,What is the role of hyperparameters in models?,Learned from data,Set before training to control model behavior,Used only after training,Automatically removed,1,Hyperparameters like learning rate or depth are set before training unlike parameters which are learned,machine_learning
ds,What is gradient descent used for?,Feature selection,Optimizing loss function,Data visualization,Clustering,1,Gradient descent minimizes loss by updating parameters iteratively,algorithm
subject,Question,A,B,C,D,answer,explanation,topic
ds,A model trained on very small dataset shows high variance in predictions across folds. What is the primary issue?,Underfitting due to low complexity,Overfitting due to insufficient data,Perfect generalization,Data normalization error,1,Small datasets lead to high variance where model learns noise instead of patterns causing overfitting. Underfitting would show consistent poor performance,machine_learning
ds,In imbalanced classification why is accuracy often misleading?,It ignores true positives,It ignores class distribution and favors majority class,It cannot be computed,It depends only on recall,1,Accuracy may appear high even if minority class is poorly predicted because majority class dominates,machine_learning
ds,What is the purpose of regularization parameter lambda in models?,To increase feature count,To control penalty strength on coefficients,To normalize dataset,To split data,1,Lambda controls how strongly large coefficients are penalized balancing bias and variance,machine_learning
ds,Why does increasing model depth in decision trees lead to overfitting?,It reduces features,It captures noise and specific patterns,It simplifies model,It removes variance,1,Deep trees memorize training data including noise leading to poor generalization,machine_learning
ds,What does a high AUC score indicate?,Poor model performance,Better ability to distinguish classes,High bias,Low variance,1,AUC close to 1 means model separates classes effectively across thresholds,machine_learning
ds,Why is feature engineering critical in machine learning?,It reduces dataset size,It improves model performance by creating meaningful inputs,It removes algorithms,It increases randomness,1,Good features capture underlying patterns making models more effective,machine_learning
ds,What is the key limitation of K-means clustering?,Works well on all shapes,Assumes spherical clusters and equal variance,Handles categorical data easily,No need to define k,1,K-means assumes clusters are spherical and requires predefined k,machine_learning
ds,Why is scaling not required for tree-based models?,They use distance metrics,They are invariant to feature scale,They normalize automatically,They remove features,1,Tree models split based on thresholds not distances so scale does not affect them,machine_learning
ds,What is the main idea behind ensemble learning?,Use single strong model,Combine multiple models to improve performance,Reduce dataset size,Eliminate features,1,Ensemble combines models to reduce error and improve robustness,machine_learning
ds,What is the role of loss function in model training?,Measure model error,Store data,Normalize features,Select dataset,0,Loss function quantifies difference between predicted and actual values guiding optimization,machine_learning
ds,Why is cross entropy used in classification?,It measures variance,It penalizes incorrect confident predictions heavily,It reduces dataset size,It clusters data,1,Cross entropy strongly penalizes wrong predictions with high confidence improving classification,machine_learning
ds,What is the purpose of train-test split?,Increase data size,Evaluate generalization,Normalize data,Remove noise,1,Split ensures model is tested on unseen data,machine_learning
ds,What does recall focus on?,False positives,False negatives,True negatives,Accuracy,1,Recall minimizes missed positives making it critical in sensitive applications,statistics
ds,Why is precision important in spam detection?,To reduce missed spam,To reduce false alarms,To increase recall,To balance data,1,Precision ensures non-spam emails are not incorrectly flagged,statistics
ds,What is gradient descent sensitive to?,Learning rate,Dataset size only,Feature count only,Output labels,0,Learning rate controls convergence speed and stability,machine_learning
ds,What happens if learning rate is too high?,Slow convergence,Overshooting minimum,Different dataset,None,1,High learning rate causes instability and overshooting,machine_learning
ds,What is batch gradient descent?,Updates per sample,Updates using full dataset,Updates randomly,Updates per feature,1,Uses entire dataset for each update,machine_learning
ds,What is stochastic gradient descent?,Uses full data,Updates per sample,Uses no data,Uses fixed output,1,SGD updates weights for each data point improving speed,machine_learning
ds,What is mini-batch gradient descent?,Single update,Uses subset of data,Uses no data,Uses output only,1,Mini-batch balances speed and stability,machine_learning
ds,Why is dimensionality reduction useful?,Increase features,Reduce noise and complexity,Remove labels,Increase variance,1,Reducing dimensions simplifies model and improves performance,preprocessing
ds,What is curse of dimensionality?,More data improves model,High dimensions degrade performance,Features always useful,Models become simple,1,High dimensional space makes learning difficult,machine_learning
ds,What does standardization achieve?,Range 0-1,Mean 0 std 1,Remove features,Cluster data,1,Standardization centers and scales data,preprocessing
ds,Why are outliers problematic?,Improve model,Distort statistical measures,Normalize data,Reduce variance,1,Outliers skew mean and affect models,statistics
ds,What is bootstrapping?,Sampling with replacement,Sampling without replacement,Removing data,Clustering,None,0,Bootstrapping creates multiple samples for estimation,machine_learning
ds,Why is bagging effective?,Reduces bias,Reduces variance,Increases noise,Removes features,1,Bagging averages models reducing variance,machine_learning
ds,What is boosting strategy?,Parallel models,Sequential error correction,Random selection,Feature removal,1,Boosting focuses on correcting previous errors,machine_learning
ds,What is feature importance?,Model accuracy,Impact of feature on prediction,Dataset size,Output label,None,1,Measures contribution of each feature,machine_learning
ds,Why is log transformation used?,Increase variance,Reduce skewness,Remove data,Increase features,None,1,Log reduces skewness improving distribution,statistics
ds,What is a confusion matrix element?,Mean,True positive,Variance,Cluster,None,1,True positive is correct positive prediction,machine_learning
ds,What is hyperparameter tuning?,Adjust model parameters,Adjust data,Remove features,Normalize dataset,None,0,Tuning improves model performance by optimizing parameters,machine_learning
subject,Question,A,B,C,D,answer,explanation,topic
ds,A model shows low training error and low test error. What does this indicate?,Overfitting,Underfitting,Good generalization,High variance,2,Low error on both datasets indicates the model has learned patterns effectively without memorizing noise unlike overfitting or underfitting,machine_learning
ds,A dataset has highly skewed distribution. Which measure is most robust?,Mean,Median,Variance,Range,1,Median is resistant to extreme values unlike mean which shifts with outliers,statistics
ds,What is the purpose of feature scaling in gradient descent?,Reduce iterations and improve convergence,Remove features,Increase variance,Reduce dataset size,0,Scaling ensures gradients are balanced across features improving convergence speed,machine_learning
ds,Why does logistic regression use sigmoid function?,To normalize data,To map outputs between 0 and 1,To reduce features,To cluster data,1,Sigmoid converts linear output into probability values suitable for classification,machine_learning
ds,What is the drawback of using accuracy in imbalanced datasets?,Ignores true positives,Overestimates performance,Cannot be calculated,Depends only on recall,1,Accuracy can be misleading because majority class dominates results,machine_learning
ds,What does entropy measure in decision trees?,Accuracy,Impurity,Variance,Distance,1,Entropy measures randomness and helps determine best splits,machine_learning
ds,What happens when model complexity increases excessively?,Underfitting,Overfitting,Reduced variance,Perfect predictions,1,Highly complex models capture noise leading to overfitting,machine_learning
ds,Why is cross-validation preferred over single train-test split?,Reduces bias in evaluation,Increases dataset size,Removes outliers,Simplifies model,0,Cross-validation uses multiple splits improving reliability of evaluation,machine_learning
ds,What is the goal of PCA transformation?,Increase dimensions,Reduce dimensions while preserving variance,Normalize dataset,Cluster data,None,1,PCA reduces dimensionality by retaining maximum variance,machine_learning
ds,What is a key assumption of linear regression?,Nonlinear relationship,Linear relationship between variables,Random output,Clustered data,1,Linear regression assumes linear dependency between features and target,machine_learning
ds,What is variance in statistics?,Spread of data,Central value,Maximum value,Minimum value,0,Variance measures dispersion around mean,statistics
ds,What is the effect of multicollinearity?,Stable coefficients,Unstable coefficients,Reduced features,Improved accuracy,None,1,Multicollinearity inflates variance making coefficients unreliable,statistics
ds,Why is regularization useful?,Reduces overfitting,Removes all features,Increases error,Simplifies data,None,0,Regularization penalizes complexity preventing overfitting,machine_learning
ds,What is gradient descent optimization?,Minimizing loss function,Maximizing accuracy directly,Removing features,Clustering data,None,0,Gradient descent iteratively updates weights to minimize loss,machine_learning
ds,What is the role of learning rate?,Controls update step size,Controls dataset size,Controls features,Controls labels,None,0,Learning rate determines how quickly model updates weights,machine_learning
ds,What is overfitting mainly caused by?,Too simple model,Too complex model,Too little data always,Balanced data,None,1,Complex models learn noise leading to overfitting,machine_learning
ds,What is underfitting mainly caused by?,Too simple model,Too complex model,Too much data,High variance,None,0,Simple models fail to capture patterns,machine_learning
ds,What is bias in ML?,Error due to simplicity,Error due to noise,Perfect accuracy,Variance,None,0,Bias arises from simplifying assumptions,machine_learning
ds,What is variance in ML?,Model sensitivity to data changes,Mean value,Loss function,None,None,0,Variance measures how predictions change with data,machine_learning
ds,What is the purpose of confusion matrix?,Evaluate classification performance,Train model,Reduce features,Cluster data,None,0,It shows TP FP FN TN giving detailed evaluation,machine_learning
ds,What is precision?,TP/(TP+FP),TP/(TP+FN),FP/(FP+TN),TN/(TN+FP),0,Precision measures correctness of positive predictions,machine_learning
ds,What is recall?,TP/(TP+FN),TP/(TP+FP),TN/(TN+FP),FP/(FP+TN),0,Recall measures ability to find all positives,machine_learning
ds,What is F1 score?,Arithmetic mean,Harmonic mean,Geometric mean,Weighted mean,1,F1 balances precision and recall,machine_learning
ds,What is bagging?,Parallel model training,Sequential training,Feature removal,Clustering,None,0,Bagging builds models independently reducing variance,machine_learning
ds,What is boosting?,Sequential learning,Parallel learning,Random sampling,Feature scaling,None,0,Boosting trains models sequentially correcting errors,machine_learning
ds,What is random forest?,Single tree,Multiple decision trees,None,None,None,1,Random forest combines trees for better performance,machine_learning
ds,What is feature engineering?,Creating useful features,Deleting features,Scaling features,Clustering,None,0,Feature engineering improves model input quality,machine_learning
ds,Why are outliers removed?,Improve accuracy,Increase variance,Reduce features,Normalize data,None,0,Outliers distort models and statistics,statistics
ds,What is normalization?,Scaling data 0-1,Mean 0 std 1,Removing features,Clustering,None,0,Normalization rescales values,machine_learning
ds,What is standardization?,Mean 0 std 1,Range 0-1,Clustering,Feature removal,None,0,Standardization centers data around mean,machine_learning
ds,What is clustering?,Grouping similar data,Classification,Regression,Sorting,None,0,Clustering groups similar data points,machine_learning
ds,What is K-means?,Clustering algorithm,Regression model,Classification model,Normalization,None,0,K-means groups data into clusters,machine_learning
ds,What is elbow method?,Find optimal k,Normalize data,Remove features,Split dataset,None,0,Elbow method determines best cluster number,machine_learning
ds,What is correlation?,Relationship between variables,Mean,Variance,Mode,None,0,Correlation measures dependency,statistics
ds,What is positive correlation?,Variables increase together,Opposite relation,No relation,Random,None,0,Positive correlation means both move in same direction,statistics
ds,What is negative correlation?,Opposite relation,Same relation,None,None,None,0,Negative correlation means inverse relation,statistics
ds,What is hypothesis testing?,Statistical decision method,Clustering,Normalization,Feature selection,None,0,Tests assumptions using data,statistics
ds,What is p-value?,Probability of result,Mean,Variance,Mode,None,0,Indicates significance of result,statistics
ds,What is type I error?,False positive,False negative,True positive,True negative,None,0,Rejecting true null hypothesis,statistics
ds,What is type II error?,False negative,False positive,True positive,True negative,None,0,Failing to reject false null,statistics
ds,What is time series data?,Sequential data,Random data,Clustered data,Static data,None,0,Time series has time dependency,machine_learning
ds,What is ARIMA?,Time series model,Clustering model,Classification model,Normalization,None,0,ARIMA predicts time-based data,machine_learning
ds,What is neural network?,Layered model,Clustering model,Simple model,Static model,None,0,Neural networks consist of layers of neurons,machine_learning
ds,What is activation function?,Non-linear transformation,Scaling,Normalization,Clustering,None,0,Activation introduces non-linearity,machine_learning
subject,Question,A,B,C,D,answer,explanation,topic
ecommerce,A business selling products directly to consumers online follows which model?,B2B,B2C,C2C,C2B,1,B2C means Business to Consumer where companies sell directly to customers unlike B2B which involves businesses,models
ecommerce,A platform where consumers sell products to other consumers is classified as:,B2B,B2C,C2C,C2G,2,C2C enables peer-to-peer transactions like resale platforms unlike B2C which involves businesses,models
ecommerce,A company purchasing goods from another company online follows:,B2C,B2B,C2C,G2C,1,B2B involves transactions between businesses often in bulk unlike B2C,models
ecommerce,Which component ensures secure online payment transactions?,Firewall,Encryption,Load balancer,Cache,1,Encryption protects sensitive data like card details during transmission unlike firewall which controls traffic,security
ecommerce,What is the role of a payment gateway?,Store products,Process online payments,Design UI,Manage inventory,1,Payment gateway securely processes transactions between customer and merchant unlike inventory systems,payments
ecommerce,Which protocol is commonly used for secure e-commerce transactions?,HTTP,FTP,HTTPS,SMTP,2,HTTPS encrypts communication ensuring data security unlike HTTP which is unencrypted,security
ecommerce,What is a shopping cart in e-commerce?,Database,Temporary storage for selected items,Payment method,Delivery system,1,Shopping cart stores selected products before checkout unlike payment gateway which handles transactions,basics
ecommerce,Which factor most influences customer trust in e-commerce?,Website color,Security and reviews,Font size,Background music,1,Security features and reviews build trust unlike visual elements which have minor impact,customer_behavior
ecommerce,What is the primary function of SSL certificate?,Improve speed,Encrypt data,Store data,Optimize images,1,SSL encrypts data ensuring secure communication unlike caching which improves speed,security
ecommerce,Which model involves individuals offering products to businesses?,B2B,C2B,B2C,G2B,1,C2B allows individuals to sell services or products to companies unlike B2C,models
ecommerce,What is drop shipping?,Seller stores inventory,Seller ships products directly,Supplier ships directly to customer,Customer picks product,None,2,In drop shipping supplier handles shipping removing need for inventory unlike traditional retail,logistics
ecommerce,What is digital wallet?,Physical wallet,Online payment tool,Inventory system,Shipping method,1,Digital wallets store payment info securely for transactions unlike logistics systems,payments
ecommerce,Which metric measures conversion in e-commerce?,Bounce rate,Conversion rate,Click rate,Load time,1,Conversion rate shows percentage of visitors making purchase unlike bounce rate which measures exits,analytics
ecommerce,What does SEO stand for?,Search Engine Optimization,System Engine Operation,Secure Electronic Operation,Search Engine Output,0,SEO improves website visibility in search engines unlike security protocols,marketing
ecommerce,Which model involves government services to citizens online?,G2B,G2C,C2G,B2G,1,G2C enables government services to citizens unlike B2G which involves businesses,models
ecommerce,What is cart abandonment?,Customer completes purchase,Customer leaves without purchase,Customer deletes account,Customer logs out,1,Cart abandonment occurs when users leave without checkout impacting sales,analytics
ecommerce,Which strategy improves customer retention?,Higher prices,Loyalty programs,Slow delivery,Limited support,1,Loyalty programs encourage repeat purchases unlike poor service which reduces retention,marketing
ecommerce,What is affiliate marketing?,Direct selling,Partner-based promotion,Inventory management,Shipping method,1,Affiliates promote products and earn commission unlike direct selling,marketing
ecommerce,Which factor improves website performance?,Heavy images,Optimized loading,Large scripts,Multiple redirects,1,Optimized loading improves speed and user experience unlike heavy resources,performance
ecommerce,What is omnichannel retail?,Single channel selling,Multiple integrated channels,Offline only,Online only,1,Omnichannel integrates online and offline experiences unlike single channel approaches,models
ecommerce,What is COD in e-commerce?,Cash on delivery,Cost of delivery,Code of data,Customer order data,0,COD allows payment at delivery unlike prepaid methods,payments
ecommerce,Which tool tracks user behavior on website?,Firewall,Analytics tools,Payment gateway,Database,1,Analytics tools like tracking systems monitor user activity unlike firewalls,analytics
ecommerce,What is bounce rate?,Users purchasing,Users leaving without interaction,Users clicking ads,Users logging in,1,Bounce rate measures engagement failure unlike conversion rate,analytics
ecommerce,Which feature enhances product visibility?,SEO,Encryption,Firewall,Cache,0,SEO improves ranking in search engines unlike security tools,marketing
ecommerce,What is personalization in e-commerce?,Same content for all,Customized user experience,Random content,Static content,1,Personalization improves engagement by tailoring content unlike generic experience,customer_behavior
ecommerce,Which payment method is fastest online?,Cash,Credit card,UPI,Cheque,2,UPI enables instant real-time transactions unlike cheque processing,payments
ecommerce,What is inventory management?,Tracking stock,Processing payment,Designing UI,Marketing,None,0,Inventory management ensures product availability unlike payment systems,logistics
ecommerce,Which factor affects page load time?,Server speed,Design color,Font type,Content language,0,Server speed directly impacts loading performance,performance
ecommerce,What is A/B testing?,Comparing two versions,Testing database,Checking payment,Validating code,0,A/B testing compares variations to optimize performance,analytics
ecommerce,What is customer lifetime value?,Single purchase value,Total revenue from customer,Product price,Discount rate,1,CLV measures long-term value of customer unlike single transaction value,analytics
ecommerce,Which method reduces fraud?,Encryption,Weak passwords,Public access,No authentication,0,Encryption protects sensitive data reducing fraud risk,security
ecommerce,What is checkout process?,Product selection,Final purchase step,Payment gateway,Shipping,None,1,Checkout completes transaction unlike browsing stage,basics
ecommerce,Which element increases trust?,Customer reviews,Slow loading,No security,Hidden info,0,Reviews build credibility unlike poor UX,customer_behavior
subject,Question,A,B,C,D,answer,explanation,topic
ecommerce,A sudden drop in conversion rate after a website redesign most likely indicates:,Improved user experience,UI/UX issues affecting usability,Better SEO performance,Reduced server load,1,A drop in conversion after redesign usually means usability or navigation issues. Improved UX would increase conversions while SEO and server load do not directly cause immediate conversion decline,analytics
ecommerce,Which pricing strategy adjusts prices dynamically based on demand and competition?,Fixed pricing,Dynamic pricing,Penetration pricing,Cost-plus pricing,1,Dynamic pricing uses algorithms to adjust prices in real time unlike fixed or cost-plus methods,marketing
ecommerce,What is the primary purpose of a CDN in e-commerce?,Process payments,Store inventory,Improve content delivery speed globally,Manage orders,2,CDN reduces latency by serving content from nearest servers unlike payment or inventory systems,performance
ecommerce,Which metric best evaluates marketing campaign effectiveness in e-commerce?,Bounce rate,Conversion rate,Page load time,Server uptime,1,Conversion rate directly measures how many users complete desired actions unlike bounce rate or uptime,analytics
ecommerce,What is the role of cookies in e-commerce websites?,Encrypt transactions,Store user session data,Process payments,Manage inventory,1,Cookies store session and preference data enabling personalization unlike encryption or inventory systems,customer_behavior
ecommerce,Which strategy reduces cart abandonment?,Complex checkout process,Simplified checkout process,Increased product price,Limited payment options,1,Simplified checkout reduces friction improving completion rates unlike complex processes,analytics
ecommerce,What is cross-selling?,Selling cheaper alternatives,Selling unrelated products,Suggesting complementary products,Selling same product repeatedly,2,Cross-selling suggests related products unlike upselling which promotes higher-value alternatives,marketing
ecommerce,What is upselling?,Offering complementary items,Offering premium alternatives,Reducing product price,Removing features,1,Upselling encourages purchase of higher-value version unlike cross-selling which suggests related items,marketing
